candidate,party,district,predicted_votes_in_2023_elections,predicted_elected,election_result,votes_in_2023_elections,age,sex
Posti Olli,VL,HEL,3955.2114,0,NOT_ELECTED,417,40,0
Ruoho Simo,VL,HEL,263.39066,0,NOT_ELECTED,406,50,0
Sotikoff Timo,VL,HEL,168.745,0,NOT_ELECTED,195,42,0
Rajapaltio Anssi,VL,HEL,164.4779,1,NOT_ELECTED,49,34,0
Puro Mira,VL,HEL,160.11624,0,NOT_ELECTED,176,47,1
Pemari Niklas,VL,HEL,136.58427,0,NOT_ELECTED,33,22,0
Malm Minna,VL,HEL,134.28018,0,NOT_ELECTED,68,54,1
Olsen Vanessa,VL,HEL,134.10707,0,NOT_ELECTED,847,36,1
Jonasson Marjo,VL,HEL,134.10707,0,NOT_ELECTED,120,39,1
Laakso Pauli,VL,HEL,131.93147,0,NOT_ELECTED,46,37,0
Kotalainen Marko,VL,HEL,131.93147,0,NOT_ELECTED,35,37,0
Jakonen Jari,VL,HEL,119.36027,0,NOT_ELECTED,104,61,0
Yilmaz Yakup,VL,HEL,119.21923,0,NOT_ELECTED,97,59,0
Salo Ari,VL,HEL,104.54523,0,NOT_ELECTED,108,52,0
Luotonen Jorma,VL,HEL,70.96695,0,NOT_ELECTED,55,77,0
Alanen Outi,VL,HEL,9.990325,0,NOT_ELECTED,214,56,1
Giansanti Nico,VKK,HEL,619.48535,0,NOT_ELECTED,226,37,0
Hämäläinen Sari,VKK,HEL,134.10707,0,NOT_ELECTED,31,40,1
Paukkunen Mikko,VKK,HEL,131.93147,0,NOT_ELECTED,64,37,0
Kazakov Sofia,VKK,HEL,127.56981,0,NOT_ELECTED,104,47,1
Idström Ville,VKK,HEL,125.394196,0,NOT_ELECTED,23,46,0
Bäckman Johan,VKK,HEL,116.50473,0,NOT_ELECTED,400,51,0
Kurki Jaakko,VKK,HEL,109.36828,0,NOT_ELECTED,35,56,0
Dehghan Rasoul,VKK,HEL,98.40053,0,NOT_ELECTED,46,60,0
Lahtinen Markku,VKK,HEL,93.51925,0,NOT_ELECTED,30,65,0
Partanen Rainer,VKK,HEL,91.962906,0,NOT_ELECTED,26,83,0
Haavisto Pekka,VIHR,HEL,15391.865,1,ELECTED,8036,65,0
Ohisalo Maria,VIHR,HEL,15049.803,1,ELECTED,6937,38,1
Diarra Fatim,VIHR,HEL,8501.942,1,ELECTED,6774,36,1
Harjanne Atte,VIHR,HEL,8416.051,1,ELECTED,5804,38,0
Alametsä Alviina,VIHR,HEL,8270.811,1,ON_SUBSTITUTE_PLACE,5151,30,1
Yanar Ozan,VIHR,HEL,7673.9604,1,NOT_ELECTED,1241,35,0
Holopainen Mari,VIHR,HEL,7304.468,1,NOT_ELECTED,5051,42,1
Silvennoinen Oula,VIHR,HEL,6276.965,0,NOT_ELECTED,625,52,0
Vanhanen Reetta,VIHR,HEL,5923.8066,1,NOT_ELECTED,2400,32,1
Strömman Kasper,VIHR,HEL,5544.921,0,NOT_ELECTED,529,48,0
Kousa Tuuli,VIHR,HEL,4767.797,0,NOT_ELECTED,3387,43,1
Huff Shawn,VIHR,HEL,3972.9338,1,NOT_ELECTED,2361,38,0
Pasanen Amanda,VIHR,HEL,3883.6921,1,NOT_ELECTED,2743,28,1
