year;last_election;candidate_id;district;district_id;party;party_id;party_prefvote_lag;candidate_nr;prefvote;prefvote_lag;elected;age;sex;language;prevterm;mep;municipal_seat;regional_seat;occupation;occupation_category;fb_likes;party_relevance;campaign_budget;campaign_budget_2023;political_experience_self_reported;education;legserv;party_leader;pyear_run;last_presidential_elections;last_presidential_elections_vote_share;last_municipal_votes;last_municipal_vote_share;last_eu_vote_share;last_eu_votes;votes_comparative;party_changed;cabinet_last_parliament;dist_bkt_change;twitter_followers
2023;2019;15376;LAP;13;PS;3;17,19;54;161;698;0;58;0;FI;0;0;0;0;;yrittäjä;0;4,000;0;1000;3:s kausi valtuustossa ja teknisessä lautakunnassa.;ammattitutkinto;0;0;1;0;;41;;;0;;0;;;0
2023;2019;19098;SKA;9;VAS;5;7,18;99;150;0;0;64;0;FI;0;0;0;0;;Näyttelijä FIA;793;3,000;0;2000;;joku muu;0;0;0;0;;60;;;0;;0;;;0
2023;2019;19452;OUL;12;KOK;1;10,96;168;1916;0;0;64;0;FI;0;0;0;0;;valmentaja;0;4,000;0;10000;;ylioppilas;0;0;0;0;;;;;0;;0;;;0
2023;2019;18941;VAA;10;KOK;1;11,77;77;478;0;0;77;0;SV;0;0;1;1;;Yrittäjä;0;4,000;0;10000;Kunnallispolitiikka kymmeniä vuosia, yrittäjäjärjestötoimintaa;ylempi korkeakoulututkinto;0;0;0;0;;88;;;0;;0;;;0
2023;2019;16056;PIR;7;VAS;5;8,14;144;1665;1207;0;33;0;FI;0;0;1;0;;Alueasiamies;1985;3,000;0;10000;Olen kokenut vaikuttaja sekä toiminut niin valtakunnallisen nuorisoliiton puheenjohtajana, kuin kansalaisyhteiskunnan kollektiiveissa ja Valtion nuorisoneuvoston kaltaisissa valtiollisissa toimielimissä.;ylioppilas;0;0;1;0;;1004;;;0;;0;;;4359
2023;2019;12962;VAA;10;KD;8;6,67;105;1918;1372;0;48;1;FI;0;0;1;0;;luokanopettaja, KM;756;2,000;0;10000;Kaupunginvaltuusto, hyvinvointialuevaltuusto, lautakunnat;ylempi korkeakoulututkinto;0;0;1;0;;394;;;0;;0;;;169
2023;2019;16090;VAA;10;RKP;7;21,08;56;562;858;0;67;0;SV;0;0;1;1;;Lupapalveluyksikön johtaja, ylikomisario;460;2,000;0;10000;Useampia vuosikymmeniä mm. Kokkolan kaunpunginvaltuuston jäsenä. Kokkolan ympäristö- ja rakennuslautakunnan puheenjohtajana (nyt varapuheenjohtajana), Keski-Pohjanmaan maakuntavaltuuston jäsenenä. Monta kautta Söfukin ja Centria ammattikorkeakoulun hallituksessa. Kokkolan seurakuntayhtymän yhteisen kirkkovaltuuston jäsenenä ja yhteisen kirkkoneuvoston jäsenenä. Porvoon hiippakuntavaltuuston jäsenenä ja Finands svenska folktingetin edustajana.;ylempi korkeakoulututkinto;0;0;1;0;;242;;;0;;0;;;0
2023;2019;18634;VAA;10;PS;3;17,08;145;2016;0;0;55;0;FI;0;0;1;0;;Vastaava koulukuraattori;0;4,000;0;11000;Vaasan hallinto-oikeuden asiantuntijajäsen, Tarkastuslautakunnan varapuheenjohtaja, Hyvinvointialueen yksilöjaoston jäsen, Seurakunnan kappelineuvoston jäsen;ylempi korkeakoulututkinto;0;0;0;0;;115;;;0;;0;;;18985
2023;2019;15939;HEL;1;SDP;2;13,59;190;628;397;0;45;1;FI;0;0;0;0;;Koulutuksen ja työelämän asiantuntija, sopimusneuvottelija;1360;4,000;0;20000;SDP Helsinki 1. varapuheenjohtaja;ylempi korkeakoulututkinto;0;0;1;0;;200;;;0;;0;;;941
2023;2019;18799;SKA;9;KESK;4;22,78;119;2123;0;0;67;0;FI;0;0;1;1;;Maakuntaneuvos;0;4,000;0;25000;Olen toiminut kaupunginvaltuutettuna vuodesta 1977 alkaen, ensin Suonenjoella ja sitten vuodesta 2000 saakka Kuopiossa, jossa olen toiminut myös kaupunginvaltuuston puheenjohtajana. Olen ollut 12 vuotta Pohjois-Savon maakuntaliiton sekä Myrrin hallituksen puheenjohtjana sekä 10 vuotta Pohjois-Savon sairaanhoitopiirin hallituksen puheenjohtajana. Kansanedustajana olen työskennellyt kuusi kautta.;ylioppilas;0;0;0;0;;295;;;0;;0;;;3
2023;2019;12034;VAR;3;KOK;1;18,95;197;4334;7218;0;57;1;FI;1;0;1;0;;Kansanedustaja;3374;4,000;0;30000;Kuntapolitiikka 2004-, maakuntahallitus 2005-, kansanedustaja 2007-;ylempi korkeakoulututkinto;1;0;1;0;;617;;;0;;0;;;9130
2023;2019;14977;KES;11;PS;3;18,04;55;5118;1675;1;45;1;FI;0;0;0;0;;Lähihoitaja;2249;4,000;0;30000;yväskylän kaupunginvaltuutettu ja kaupunginhallituksen jäsen Keski-Suomen aluevaltuutettu ja aluehallituksen jäsen Aluehallituksen edustaja Lasten, nuorten ja perheiden lautakunnassa Alva-yhtiöt oy hallituksen jäsen, Keski-Suomen liiton valtuutettu, PS piirihallituksen jäsen;ammattitutkinto;0;0;1;0;;676;;;0;;0;;;0
2023;2019;11037;HEL;1;PS;3;12,26;193;22081;30596;1;51;0;FI;1;0;1;0;;kansanedustaja;11066;4,000;0;2000;;ylempi korkeakoulututkinto;1;0;1;0;;18978;;;0;;0;;;117918
2023;2019;19825;PIR;7;SDP;2;22,1;17;6274;0;1;38;0;FI;0;0;0;0;;Psykoterapeutti, mielenterveysvaikuttaja ;0;4,000;0;3000;;alempi korkeakoulututkinto;0;0;0;0;;;;;0;;0;;;0
2023;2019;18830;PIR;7;PS;3;17,32;149;10525;0;1;27;0;FI;0;0;1;1;;Rakennusmaalari (pintakäsittelijä);15605;4,000;0;4000;Toimin Sastamalassa kaupunginvaltuutettuna sekä kaupunginhallituksen jäsenenä. Pirkanmaan hyvinvointialueella toimin valtuuston 2. varapuheenjohtajana. Aiemmin toimin Perussuomalaiset rp.n nuorisojärjestön puheenjohtajana kaksi kautta.;ammattitutkinto;0;0;0;0;;387;;;0;;0;;;12300
2023;2019;19893;KAA;8;VIHR;6;9,4;31;253;0;0;62;1;FI;0;0;0;0;;Palvelualuejohtaja;0;3,000;0;100;Puolueyhdistyksessä;ylempi korkeakoulututkinto;0;0;0;0;;;;;0;;0;;;0
2023;2019;18982;HÄM;6;VIHR;6;8,43;40;85;0;0;59;1;FI;0;0;0;0;;Määräaikaisella työkyvyttömyyseläkkeellä;299;3,000;0;100;Olen toiminut kunnan luottamustehtävissä vuodesta 2017. Tällä hetkellä olen tarkastuslautakunnan jäsen.;ylempi korkeakoulututkinto;0;0;0;0;;16;;;0;;0;;;0
2023;2019;19109;LAP;13;VIHR;6;9,72;38;51;0;0;46;0;FI;0;0;0;0;;Asiantuntija ;0;3,000;0;100;;alempi korkeakoulututkinto;0;0;0;0;;66;;;0;;0;;;322
2023;2019;19725;UUS;2;RKP;7;9,08;429;174;0;0;42;1;SV;0;0;0;0;;Varhaiskasvatusyksikön johtaja;0;2,000;0;100;Kuntapolitiikka: lautakuntatyö;ylempi korkeakoulututkinto;0;0;0;0;;;;;0;;0;;;542
2023;2019;19095;LAP;13;VIHR;6;9,72;39;165;0;0;50;1;FI;0;0;0;0;;professori, dekaani, taiteilija;467;3,000;0;150;Olen ollut mukana Vihreiden naisten, Rovaniemen ja Lapin vihreiden toiminnassa. Toimin Rovaniemen Kehitys Oyn hallituksen puheenjohtajana vihreiden edustajana.;ylempi korkeakoulututkinto;0;0;0;0;;59;;;0;;0;;;0
2023;2019;19561;LAP;13;VIHR;6;9,72;33;419;0;0;41;1;FI;0;0;0;0;;Luonnontieteiden opettaja;394;3,000;0;200;Kunnan varavaltuutettu;ylempi korkeakoulututkinto;0;0;0;0;;;;;0;;0;;;0
2023;2019;19172;SAT;4;VIHR;6;5,97;70;333;0;0;40;1;FI;0;0;0;0;;opiskelija;0;3,000;0;200;Olen ollut maakuntavaltuutettu, kunnanvaltuutettu, jäsen teknisessä ja vaalilautakunnassa sekä tarkastuslautakunnan varapuheenjohtaja;ylempi korkeakoulututkinto;0;0;0;0;;101;;;0;;0;;;0
2023;2019;19015;HÄM;6;VIHR;6;8,43;43;80;0;0;67;0;FI;0;0;0;0;;Psykiatrinen sairaanhoitaja, eläkeläinen;0;3,000;0;200;Hämeenlinnan Vihreät hallituksen varapuheenjohtaja 2017-20 ja 2022. Karjalohjan sivistys- ja perusturvalautakunta 1992-1996;joku muu;0;0;0;0;;27;;;0;;0;;;0
2023;2019;19182;SAT;4;VAS;5;9,96;40;178;0;0;66;0;FI;0;0;0;0;; Eläkkeellä;0;3,000;0;200;Kaupunginvaltuuston varajäsen, ympäristöterveysjaosto jäsen, hyv.aluevaltuuston varajäsen, varautuminen ja turvallisuuslautakunta jäsen hyvinvointialue;ammattitutkinto;0;0;0;0;;109;;;0;;0;;;0
2023;2019;19057;HÄM;6;VAS;5;7,37;108;137;0;0;46;0;FI;0;0;0;0;;veroasiantuntija;181;3,000;0;200;;ammattitutkinto;0;0;0;0;;42;;;0;;0;;;0
2023;2019;12818;UUS;2;KD;8;2,73;175;106;136;0;59;0;FI;0;0;0;0;;Yrittäjä;0;2,000;0;200;Kaupunginvaltuutettu, kaupunginvaltuuston 2.varapuheenjohtaja, varakansanedustaja, sosiaali-ja terveyslautakunnan jäsen, HUS-valtuuston jäsen,  tarkastuslautakunnan puheenjohtaja.;ylempi korkeakoulututkinto;0;0;1;0;;77;;;0;;0;;;0
2023;2019;18689;VAA;10;VIHR;6;4,19;17;553;0;0;23;1;FI;0;0;1;0;;Korkeakouluopiskelija, hallintotieteiden ylioppilas;0;3,000;0;300;Vaasan kaupunginvaltuutettu, Vaasan kaupunkiympäristölautakunnan jäsen sekä Espoon Vihreiden nuorten viestintävastaava;ylioppilas;0;0;0;0;;157;;;0;;0;;;0
2023;2019;19602;KES;11;VIHR;6;11,43;78;120;0;0;65;0;FI;0;0;0;0;;Toimitusjohtaja ;26;3,000;0;300;;ylempi korkeakoulututkinto;0;0;0;0;;;;;0;;0;;;0
